"Date","Price","Open","High","Low","Vol.","Change %"
"15-11-2024","23,571.50","23,650.00","23,677.00","23,404.00","18.86K","-0.29%"
"14-11-2024","23,641.00","23,640.50","23,752.50","23,559.00","50.24K","-0.01%"
"13-11-2024","23,643.50","23,899.00","23,938.00","23,595.00","59.36K","-1.23%"
"12-11-2024","23,938.00","24,225.00","24,312.00","23,855.50","46.75K","-1.17%"
"11-11-2024","24,221.50","24,133.00","24,428.00","24,085.00","43.00K","0.09%"
"08-11-2024","24,199.00","24,331.50","24,378.00","24,105.50","47.75K","-0.33%"
"07-11-2024","24,278.50","24,477.00","24,557.00","24,203.00","53.54K","-1.20%"
"06-11-2024","24,572.50","24,389.00","24,665.00","24,209.50","56.59K","1.25%"
"05-11-2024","24,269.50","24,118.50","24,328.50","23,979.00","43.69K","0.61%"
"04-11-2024","24,121.50","24,225.50","24,357.50","23,881.00","63.20K","-0.76%"
"01-11-2024","24,305.50","24,394.00","24,433.00","24,301.00","9.12K","0.41%"
"31-10-2024","24,205.35","24,295.50","24,331.00","24,180.00","29.10K","-0.69%"
"30-10-2024","24,373.50","24,442.50","24,512.00","24,294.00","59.05K","-0.31%"
"29-10-2024","24,450.00","24,529.00","24,536.50","24,158.00","84.40K","0.48%"
"28-10-2024","24,332.00","24,145.00","24,495.50","24,145.00","103.04K","0.50%"
"25-10-2024","24,210.00","24,445.00","24,469.00","24,065.00","88.26K","-1.03%"
"24-10-2024","24,462.00","24,459.50","24,565.00","24,394.00","49.31K","-0.11%"
"23-10-2024","24,489.00","24,570.00","24,678.50","24,387.00","56.60K","-0.15%"
"22-10-2024","24,525.00","24,792.00","24,939.00","24,497.50","62.48K","-1.03%"
"21-10-2024","24,780.00","24,886.50","25,021.50","24,707.00","49.96K","-0.50%"
"18-10-2024","24,905.00","24,720.50","24,993.00","24,630.50","53.43K","0.18%"
"17-10-2024","24,860.00","25,063.50","25,068.50","24,747.50","46.91K","-0.57%"
"16-10-2024","25,002.00","25,061.00","25,172.00","24,960.00","43.14K","-0.44%"
"15-10-2024","25,112.00","25,274.50","25,274.50","25,051.00","41.88K","-0.44%"
"14-10-2024","25,223.00","25,131.50","25,273.00","25,065.50","41.35K","0.60%"
"11-10-2024","25,073.00","25,045.00","25,143.00","24,997.50","38.33K","-0.15%"
"10-10-2024","25,111.50","25,222.50","25,265.00","25,032.00","41.97K","0.12%"
"09-10-2024","25,080.50","25,180.00","25,350.00","25,040.50","65.25K","-0.16%"
"08-10-2024","25,121.50","24,900.50","25,225.00","24,848.50","65.43K","0.70%"
"07-10-2024","24,948.00","25,201.00","25,285.00","24,808.00","69.84K","-0.94%"
"04-10-2024","25,185.00","25,484.50","25,630.00","25,118.50","86.85K","-1.33%"
"03-10-2024","25,524.00","25,750.50","25,828.50","25,377.50","93.00K","-1.94%"
"01-10-2024","26,030.00","26,050.00","26,082.00","25,721.50","46.78K","0.09%"
"30-09-2024","26,006.50","26,336.50","26,336.50","25,856.00","62.35K","-1.32%"
"27-09-2024","26,354.00","26,360.00","26,440.50","26,285.50","48.60K","0.53%"
"26-09-2024","26,216.05","26,041.50","26,261.00","26,016.00","38.97K","0.87%"
"25-09-2024","25,990.00","25,937.50","26,074.00","25,880.00","75.02K","0.03%"
"24-09-2024","25,983.50","26,007.50","26,038.50","25,912.00","127.12K","0.19%"
"23-09-2024","25,935.50","25,868.00","26,056.50","25,856.50","91.82K","0.37%"
"20-09-2024","25,840.50","25,565.00","25,875.00","25,455.00","101.17K","1.39%"
"19-09-2024","25,487.00","25,363.00","25,657.00","25,363.00","61.23K","0.33%"
"18-09-2024","25,402.00","25,411.50","25,537.00","25,311.00","45.32K","-0.24%"
"17-09-2024","25,462.50","25,513.50","25,538.00","25,386.50","35.29K","0.00%"
"16-09-2024","25,462.50","25,422.00","25,523.50","25,382.00","","0.30%"
"13-09-2024","25,385.50","25,409.50","25,454.50","25,322.00","36.73K","0.15%"
"12-09-2024","25,348.00","25,072.50","25,445.00","25,004.50","58.36K","1.48%"
"11-09-2024","24,979.00","25,107.00","25,157.00","24,835.00","42.23K","-0.54%"
"10-09-2024","25,115.00","25,122.50","25,184.00","24,919.00","41.16K","0.54%"
"09-09-2024","24,980.00","24,757.50","25,110.00","24,757.50","45.98K","0.21%"
"06-09-2024","24,927.00","25,246.00","25,246.00","24,773.50","66.46K","-1.30%"
"05-09-2024","25,255.00","25,340.00","25,380.00","25,167.00","37.67K","-0.05%"
"04-09-2024","25,266.50","25,197.00","25,391.50","25,153.50","49.05K","-0.42%"
"03-09-2024","25,372.00","25,370.50","25,424.00","25,232.00","32.05K","0.02%"
"02-09-2024","25,367.50","25,449.50","25,449.50","25,319.00","31.61K","-0.10%"
"30-08-2024","25,392.00","25,271.50","25,450.00","25,250.00","56.31K","0.95%"
"29-08-2024","25,151.95","24,981.00","25,211.50","24,976.00","56.07K","0.37%"
