Dates,News
13-09-2017,gold suffers third straight daily decline
28-02-2018,dent research : is gold's day in the sun coming soon?
06-09-2017,"Gold snaps three-day rally as Trump, lawmakers reach debt-ceiling deal"
16-03-2018,"april gold holds slight gain, up $2.50, or 0.2%, at $1320.20/oz."
28-07-2017,"gold trades in red in early trade; eyes near-term range at rs 28,300-28,600"
22-09-2017,"gold prices rebound rs 350 on global cues, weak rupee"
04-09-2018,"Gold futures down at Rs 30,244 "
04-09-2018,"state street : gold likely to climb back to $1,350 an ounce by the end of 2018"
03-02-2017,gold to trade in 28670-29160 range: achiievers equities
25-09-2017,Gold prices finish at a more than one-week high
28-02-2018,india : is gold a good investment in a volatile market?
30-01-2017,"Gold holds modest gains, up $3.10, or 0.3%, at $1,191.50/oz. after data"
26-10-2017,"KAZ Minerals lifts copper, gold guidance"
28-02-2017,Gold little-changed after data
27-11-2017,germany : why gold market in germany is thriving
23-11-2018,Gold edges up ahead of G20 meeting; set to post second weekly gain
20-06-2018,charts : gold gld etf update - breakdown ?
21-03-2018,Gold Prices Hold onto Gains Ahead of FOMC Statement
10-08-2017,"December gold trades 0.8% higher at $1,289/oz."
21-05-2018,gold bulls push for the exits on strong dollar and lack of fear
18-08-2017,"gold prices rise for a third day, buoyed by geopolitical worries"
01-12-2017,Gold holds near 3-1/2 week low as investors opt for riskier assets
16-02-2018,"gold ends higher, logs biggest weekly gain since 2016"
16-06-2017,"August gold rises 0.2% at $1,257.50/oz."
27-09-2017,gold edges down as dollar gains on fed rate hike view
20-09-2018,van eck : tighter global monetary policy to support gold market
06-06-2018,"Gold rebounds to Rs 31,860 on firm global cues"
11-09-2017,gold prices settle at lowest level in more than a week
22-02-2017,"Gold jumps 0.3% from settlement price after Fed minutes to $1,237.40 an ounce"
02-10-2017,gold prices settle at lowest level in nearly 8 weeks
26-10-2017,gold gains on weaker dollar; markets brace for ecb decision
12-12-2017,gold holds modest loss after ppi report
28-11-2017,February gold contract notches highest settlement in over a week
27-07-2017,"August gold climbs by $10.60, or 0.9%, to settle at $1,260/oz"
11-01-2018,debt : global debt surges - gold and silver investors' patience will soon pay off
30-08-2017,"gold surrenders 11-month highs on stronger dollar, upbeat economic data"
12-06-2018,when will gold's 'summer doldrums' end? history says pretty soon
29-06-2017,Gold ends lower as rise in government bond yields dulls investment interest
05-01-2018,gold holds modest loss after ism services data
